Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
largebio,webIsClassic_syn,wikidata_syn,0.05,1,0,0
conference,webIsClassic_syn,wordnet_syn,0.05,15,6,0
conference,wordnet_syn,webIsClassic_syn,0.05,15,6,0
largebio,wiktionary_syn,webIsClassic_syn,0.05,1,0,0
largebio,webIsClassic_syn,wiktionary_syn,0.05,1,0,0
largebio,webIsClassic_syn,COMBINED_Syn,0.05,1,0,0
largebio,COMBINED_Syn,webIsClassic_syn,0.05,1,0,0
anatomy_track,wikidata_syn,dbpedia_syn,0.05,1,0,0
anatomy_track,dbpedia_syn,wikidata_syn,0.05,1,0,0
conference,babelnet_syn,babelnet_syn,0.05,0,21,0
anatomy_track,COMBINED_Syn,wikidata_syn,0.05,0,1,0
anatomy_track,wikidata_syn,COMBINED_Syn,0.05,0,1,0
anatomy_track,COMBINED_Syn,COMBINED_Syn,0.05,0,1,0
conference,dbpedia_syn,wordnet_syn,0.05,15,6,0
conference,wordnet_syn,dbpedia_syn,0.05,15,6,0
conference,babelnet_syn,wordnet_syn,0.05,17,4,0
conference,wordnet_syn,babelnet_syn,0.05,17,4,0
anatomy_track,webIsClassic_syn,wikidata_syn,0.05,0,1,0
anatomy_track,wikidata_syn,webIsClassic_syn,0.05,0,1,0
anatomy_track,wikidata_syn,wikidata_syn,0.05,0,1,0
conference,dbpedia_syn,webIsClassic_syn,0.05,13,8,0
conference,webIsClassic_syn,dbpedia_syn,0.05,13,8,0
conference,babelnet_syn,wiktionary_syn,0.05,12,9,0
conference,wiktionary_syn,babelnet_syn,0.05,12,9,0
anatomy_track,wiktionary_syn,wikidata_syn,0.05,0,1,0
anatomy_track,wikidata_syn,wiktionary_syn,0.05,0,1,0
conference,dbpedia_syn,wiktionary_syn,0.05,16,5,0
conference,wiktionary_syn,dbpedia_syn,0.05,16,5,0
anatomy_track,wordnet_syn,COMBINED_Syn,0.05,0,1,0
anatomy_track,COMBINED_Syn,wordnet_syn,0.05,0,1,0
anatomy_track,COMBINED_Syn,webIsClassic_syn,0.05,0,1,0
anatomy_track,webIsClassic_syn,COMBINED_Syn,0.05,0,1,0
anatomy_track,wikidata_syn,wordnet_syn,0.05,0,1,0
anatomy_track,wordnet_syn,wikidata_syn,0.05,0,1,0
anatomy_track,wiktionary_syn,COMBINED_Syn,0.05,0,1,0
anatomy_track,COMBINED_Syn,wiktionary_syn,0.05,0,1,0
anatomy_track,wiktionary_syn,wiktionary_syn,0.05,0,1,0
conference,COMBINED_Syn,dbpedia_syn,0.05,2,19,0
conference,dbpedia_syn,COMBINED_Syn,0.05,2,19,0
conference,dbpedia_syn,wikidata_syn,0.05,9,12,0
conference,wikidata_syn,dbpedia_syn,0.05,9,12,0
anatomy_track,webIsClassic_syn,wiktionary_syn,0.05,1,0,0
anatomy_track,wiktionary_syn,webIsClassic_syn,0.05,1,0,0
conference,wikidata_syn,babelnet_syn,0.05,9,12,0
conference,babelnet_syn,wikidata_syn,0.05,9,12,0
anatomy_track,wordnet_syn,webIsClassic_syn,0.05,1,0,0
