Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
conference,wordnet_synOrHyp,wordnet_synOrHyp,0.05,0,21,0
SAP_FS,wiktionary_synOrHyp,webIsClassic_synOrHyp,0.05,0,5,0
SAP_FS,webIsClassic_synOrHyp,wiktionary_synOrHyp,0.05,0,5,0
conference,webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,2,19,0
conference,wikidata_synOrHyp,webIsClassic_synOrHyp,0.05,2,19,0
largebio,COMBINED_SynOrHyp,babelnet_synOrHyp,0.05,1,0,0
largebio,babelnet_synOrHyp,COMBINED_SynOrHyp,0.05,1,0,0
anatomy_track,COMBINED_SynOrHyp,babelnet_synOrHyp,0.05,1,0,0
anatomy_track,babelnet_synOrHyp,COMBINED_SynOrHyp,0.05,1,0,0
anatomy_track,COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,0,1,0
conference,babelnet_synOrHyp,babelnet_synOrHyp,0.05,0,21,0
largebio,wikidata_synOrHyp,wikidata_synOrHyp,0.05,0,1,0
SAP_FS,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,0,5,0
largebio,dbpedia_synOrHyp,wikidata_synOrHyp,0.05,1,0,0
largebio,wikidata_synOrHyp,dbpedia_synOrHyp,0.05,1,0,0
anatomy_track,wiktionary_synOrHyp,COMBINED_SynOrHyp,0.05,1,0,0
anatomy_track,COMBINED_SynOrHyp,wiktionary_synOrHyp,0.05,1,0,0
SAP_FS,webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,0,5,0
largebio,wordnet_synOrHyp,wordnet_synOrHyp,0.05,0,1,0
SAP_FS,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,1,4,0
SAP_FS,wiktionary_synOrHyp,wikidata_synOrHyp,0.05,1,4,0
anatomy_track,webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,0,1,0
anatomy_track,COMBINED_SynOrHyp,webIsClassic_synOrHyp,0.05,0,1,0
conference,wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,3,18,0
conference,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,3,18,0
anatomy_track,wiktionary_synOrHyp,wordnet_synOrHyp,0.05,1,0,0
anatomy_track,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,1,0,0
SAP_FS,COMBINED_SynOrHyp,babelnet_synOrHyp,0.05,3,2,0
SAP_FS,babelnet_synOrHyp,COMBINED_SynOrHyp,0.05,3,2,0
largebio,COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,0,1,0
anatomy_track,wikidata_synOrHyp,dbpedia_synOrHyp,0.05,1,0,0
anatomy_track,dbpedia_synOrHyp,wikidata_synOrHyp,0.05,1,0,0
SAP_FS,dbpedia_synOrHyp,babelnet_synOrHyp,0.05,1,4,0
largebio,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,0,1,0
SAP_FS,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,1,4,0
largebio,wiktionary_synOrHyp,wordnet_synOrHyp,0.05,0,1,0
conference,COMBINED_SynOrHyp,wiktionary_synOrHyp,0.05,5,16,0
conference,wiktionary_synOrHyp,COMBINED_SynOrHyp,0.05,5,16,0
largebio,webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,0,1,0
conference,wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,0,21,0
largebio,wordnet_synOrHyp,dbpedia_synOrHyp,0.05,1,0,0
largebio,dbpedia_synOrHyp,wordnet_synOrHyp,0.05,1,0,0
anatomy_track,wikidata_synOrHyp,COMBINED_SynOrHyp,0.05,1,0,0
anatomy_track,COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,1,0,0
anatomy_track,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,0,1,0
anatomy_track,wiktionary_synOrHyp,wikidata_synOrHyp,0.05,0,1,0
SAP_FS,wordnet_synOrHyp,babelnet_synOrHyp,0.05,2,3,0
SAP_FS,babelnet_synOrHyp,wordnet_synOrHyp,0.05,2,3,0
SAP_FS,COMBINED_SynOrHyp,webIsClassic_synOrHyp,0.05,2,3,0
SAP_FS,webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,2,3,0
largebio,wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,0,1,0
conference,wordnet_synOrHyp,dbpedia_synOrHyp,0.05,11,10,0
conference,dbpedia_synOrHyp,wordnet_synOrHyp,0.05,11,10,0
largebio,babelnet_synOrHyp,wikidata_synOrHyp,0.05,0,1,0
largebio,wikidata_synOrHyp,babelnet_synOrHyp,0.05,0,1,0
conference,webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,3,18,0
conference,babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,3,18,0
conference,wikidata_synOrHyp,babelnet_synOrHyp,0.05,5,16,0
conference,babelnet_synOrHyp,wikidata_synOrHyp,0.05,5,16,0
anatomy_track,dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,1,0,0
anatomy_track,webIsClassic_synOrHyp,dbpedia_synOrHyp,0.05,1,0,0
largebio,babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,1,0,0
largebio,webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,1,0,0
conference,wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,15,6,0
conference,dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,15,6,0
largebio,dbpedia_synOrHyp,COMBINED_SynOrHyp,0.05,1,0,0
largebio,COMBINED_SynOrHyp,dbpedia_synOrHyp,0.05,1,0,0
SAP_FS,wiktionary_synOrHyp,babelnet_synOrHyp,0.05,1,4,0
SAP_FS,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,1,4,0
