Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,wikidata_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wikidata_emb
SAP_FS,wikidata_emb,ALL,0.20379660949262446,0.14715094394494527,0.013771633612144665,0.17090225115334118,0.6690198207982623,0.4814380617428683,0.009704251386321626,0.5599363708669469,2464,21,1219,2654,3683,2521594224809,00:42:01,0.5,SYNONYMY,wikidata_emb
SAP_FS,wikidata_emb,CLASSES,0.4232183908045977,0.15103106341566058,0.027192982456140345,0.22261796907434692,0.896328293736501,0.5577956989247311,0.006042296072507553,0.6876553438276719,415,2,48,329,463,-,-,0.5,SYNONYMY,wikidata_emb
SAP_FS,wikidata_emb,PROPERTIES,0.19282052398126273,0.14708862537057263,0.008341928003705189,0.166878154764117,0.636335403726708,0.46844993141289437,0.010365521003818877,0.5396365551751382,2049,19,1171,2325,3220,-,-,0.5,SYNONYMY,wikidata_emb
SAP_FS,wikidata_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wikidata_emb
anatomy_track,wikidata_emb,ALL,0.5464720194647202,0.7407651715039578,0.15349887133182843,0.628955474656959,0.5464720194647202,0.7407651715039578,0.15349887133182843,0.628955474656959,1123,68,932,393,2055,514917469873,00:08:34,0.5,SYNONYMY,wikidata_emb
anatomy_track,wikidata_emb,CLASSES,0.5470043838285436,0.7407651715039578,0.15349887133182843,0.6293079293919865,0.5470043838285436,0.7407651715039578,0.15349887133182843,0.6293079293919865,1123,68,930,393,2053,-,-,0.5,SYNONYMY,wikidata_emb
anatomy_track,wikidata_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,wikidata_emb
anatomy_track,wikidata_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wikidata_emb
largebio,dbpedia_emb,ALL,0.46764408493427706,0.3443782576321668,0.10766886744540376,0.39665523156089194,0.46764408493427706,0.3443782576321668,0.10766886744540376,0.39665523156089194,925,212,1053,1761,2075,1168899142734,00:19:28,0.5,SYNONYMY,dbpedia_emb
largebio,dbpedia_emb,CLASSES,0.46764408493427706,0.3443782576321668,0.10766886744540376,0.39665523156089194,0.46764408493427706,0.3443782576321668,0.10766886744540376,0.39665523156089194,925,212,1053,1761,2075,-,-,0.5,SYNONYMY,dbpedia_emb
largebio,dbpedia_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,dbpedia_emb
largebio,dbpedia_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,dbpedia_emb
conference,dbpedia_emb,ALL,0.15886423942573258,0.5344750709897432,0.06051587301587301,0.24492762596691434,0.1543756145526057,0.5147540983606558,0.058823529411764705,0.23751891074130105,157,9,860,148,1017,41095227141,00:00:41,0.5,SYNONYMY,dbpedia_emb
conference,dbpedia_emb,CLASSES,0.22769437981457838,0.5965158042470889,0.06598639455782312,0.32958412483647026,0.21273516642547033,0.5675675675675675,0.06779661016949153,0.3094736842105263,147,8,544,112,691,-,-,0.5,SYNONYMY,dbpedia_emb
conference,dbpedia_emb,PROPERTIES,0.024753925411820147,0.146031746031746,0.023809523809523808,0.04233211039864296,0.03067484662576687,0.21739130434782608,0.02857142857142857,0.053763440860215055,10,1,316,36,326,-,-,0.5,SYNONYMY,dbpedia_emb
conference,dbpedia_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,dbpedia_emb
SAP_FS,dbpedia_emb,ALL,0.2246308904624985,0.1519484469214778,0.014121691955201843,0.18127555894848518,0.7058990357345434,0.48632278233685033,0.011090573012939002,0.575890791300324,2489,24,1037,2629,3526,605943657345,00:10:05,0.5,SYNONYMY,dbpedia_emb
SAP_FS,dbpedia_emb,CLASSES,0.4416473317865429,0.15103106341566058,0.027192982456140345,0.22508823238496434,0.9120879120879121,0.5577956989247311,0.006042296072507553,0.6922435362802335,415,2,40,329,455,-,-,0.5,SYNONYMY,dbpedia_emb
SAP_FS,dbpedia_emb,PROPERTIES,0.2136780787085309,0.15305677779511453,0.008752886907814778,0.17835707532345516,0.6753500488440247,0.4741655235482396,0.012002182214948172,0.5571524513096038,2074,22,997,2300,3071,-,-,0.5,SYNONYMY,dbpedia_emb
SAP_FS,dbpedia_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,dbpedia_emb
anatomy_track,dbpedia_emb,ALL,0.5939058171745152,0.7071240105540897,0.03837471783295711,0.6455886781090032,0.5939058171745152,0.7071240105540897,0.03837471783295711,0.6455886781090032,1072,17,733,444,1805,552288497398,00:09:12,0.5,SYNONYMY,dbpedia_emb
anatomy_track,dbpedia_emb,CLASSES,0.5945646145313367,0.7071240105540897,0.03837471783295711,0.6459777041277492,0.5945646145313367,0.7071240105540897,0.03837471783295711,0.6459777041277492,1072,17,731,444,1803,-,-,0.5,SYNONYMY,dbpedia_emb
anatomy_track,dbpedia_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,dbpedia_emb
anatomy_track,dbpedia_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,dbpedia_emb
