Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,confof-iasted,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,42,0,42,-,-,-,-,-
conference,confof-iasted,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,edas-iasted,COMBINED_Emb,ALL,0.029315960912052116,0.47368421052631576,0.16666666666666666,0.05521472392638037,9,298,10,307,0,00:00:00,-,-,-
conference,edas-iasted,COMBINED_Emb,CLASSES,0.0379746835443038,0.47368421052631576,0.16666666666666666,0.07031249999999999,9,228,10,237,-,-,-,-,-
conference,edas-iasted,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,70,0,70,-,-,-,-,-
conference,edas-iasted,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
anatomy_track,mouse-human-suite,COMBINED_Emb,ALL,0.241051567239636,0.7862796833773087,0.27313769751693,0.3689831295465098,1192,3753,324,4945,0,00:00:00,-,-,-
anatomy_track,mouse-human-suite,COMBINED_Emb,CLASSES,0.24114909973700183,0.7862796833773087,0.27313769751693,0.3690973834958972,1192,3751,324,4943,-,-,-,-,-
anatomy_track,mouse-human-suite,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-,-,-,-,-
anatomy_track,mouse-human-suite,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,cmt-sigkdd,COMBINED_Emb,ALL,0.11,0.9166666666666666,0.75,0.19642857142857142,11,89,1,100,0,00:00:00,-,-,-
conference,cmt-sigkdd,COMBINED_Emb,CLASSES,0.16129032258064516,1.0,1.0,0.27777777777777773,10,52,0,62,-,-,-,-,-
conference,cmt-sigkdd,COMBINED_Emb,PROPERTIES,0.02631578947368421,0.5,0.5,0.05,1,37,1,38,-,-,-,-,-
conference,cmt-sigkdd,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
largebio,small-fma-nci,COMBINED_Emb,ALL,0.1607781433271349,0.4184661206254654,0.20822752666328084,0.23230339981399192,1124,5867,1562,7113,0,00:00:00,-,-,-
largebio,small-fma-nci,COMBINED_Emb,CLASSES,0.1607781433271349,0.4184661206254654,0.20822752666328084,0.23230339981399192,1124,5867,1562,7113,-,-,-,-,-
largebio,small-fma-nci,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
largebio,small-fma-nci,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,confof-sigkdd,COMBINED_Emb,ALL,0.04195804195804196,0.8571428571428571,0.6666666666666666,0.07999999999999999,6,137,1,143,0,00:00:00,-,-,-
