Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
anatomy_track,dbpedia_syn,CLASSES,0.9372236958443855,0.6992084432717678,0.024830699774266364,0.8009066868152624,0.9372236958443855,0.6992084432717678,0.024830699774266364,0.8009066868152624,1060,11,71,456,1131,-,-,0.5,SYNONYMY,DBpedia
anatomy_track,dbpedia_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,DBpedia
anatomy_track,dbpedia_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,DBpedia
largebio,wiktionary_syn,ALL,0.9767741935483871,0.28183172002978407,0.0228542407313357,0.43744582490609657,0.9767741935483871,0.28183172002978407,0.0228542407313357,0.43744582490609657,757,45,18,1929,860,1356408627942,00:22:36,0.5,SYNONYMY,Wiktionary
largebio,wiktionary_syn,CLASSES,0.9767741935483871,0.28183172002978407,0.0228542407313357,0.43744582490609657,0.9767741935483871,0.28183172002978407,0.0228542407313357,0.43744582490609657,757,45,18,1929,860,-,-,0.5,SYNONYMY,Wiktionary
largebio,wiktionary_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,Wiktionary
largebio,wiktionary_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,Wiktionary
conference,wiktionary_syn,ALL,0.7001266746014645,0.5655753825625275,0.0839133089133089,0.6256992466571438,0.690677966101695,0.5344262295081967,0.0784313725490196,0.6025878003696857,163,12,73,142,236,80665665082,00:01:20,0.5,SYNONYMY,Wiktionary
conference,wiktionary_syn,CLASSES,0.8029897351325924,0.6337164545647709,0.10595238095238094,0.708381173059917,0.8042328042328042,0.5868725868725869,0.09322033898305085,0.6785714285714285,152,11,37,107,189,-,-,0.5,SYNONYMY,Wiktionary
conference,wiktionary_syn,PROPERTIES,0.13492063492063494,0.13968253968253969,0.015873015873015872,0.1372602991100101,0.23404255319148937,0.2391304347826087,0.02857142857142857,0.23655913978494622,11,1,36,35,47,-,-,0.5,SYNONYMY,Wiktionary
conference,wiktionary_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,Wiktionary
SAP_FS,wiktionary_syn,ALL,0.45891417550626806,0.14560783480921138,0.0024494558616912345,0.22107218039538462,0.8288838854937279,0.5035169988276671,0.004158964879852125,0.626473805761517,2577,9,532,2541,3109,509762033567,00:08:29,0.5,SYNONYMY,Wiktionary
SAP_FS,wiktionary_syn,CLASSES,0.39855769230769234,0.13436439674899395,0.010526315789473684,0.20097483289306092,0.9928057553956835,0.5564516129032258,0.0030211480362537764,0.7131782945736435,414,1,3,330,417,-,-,0.5,SYNONYMY,Wiktionary
SAP_FS,wiktionary_syn,PROPERTIES,0.4449557209506292,0.1528201487491548,0.0018438598618014308,0.22750399575885438,0.8034918276374443,0.4945130315500686,0.00436442989634479,0.6122275686385509,2163,8,529,2211,2692,-,-,0.5,SYNONYMY,Wiktionary
SAP_FS,wiktionary_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,Wiktionary
anatomy_track,wiktionary_syn,ALL,0.967713004484305,0.7117414248021108,0.06772009029345373,0.8202204484986697,0.967713004484305,0.7117414248021108,0.06772009029345373,0.8202204484986697,1079,30,36,437,1115,764723212681,00:12:44,0.5,SYNONYMY,Wiktionary
