Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,conference-ekaw,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,conference-edas,wordnet_syn,ALL,0.6,0.5294117647058824,0.0,0.5625,9,6,8,15,142178099,00:00:00,0.5,SYNONYMY,WordNet
conference,conference-edas,wordnet_syn,CLASSES,0.875,0.5,0.0,0.6363636363636364,7,1,7,8,-,-,0.5,SYNONYMY,WordNet
conference,conference-edas,wordnet_syn,PROPERTIES,0.2857142857142857,0.6666666666666666,0.0,0.4,2,5,1,7,-,-,0.5,SYNONYMY,WordNet
conference,conference-edas,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,cmt-iasted,wordnet_syn,ALL,0.8,1.0,0.0,0.888888888888889,4,1,0,5,161440098,00:00:00,0.5,SYNONYMY,WordNet
conference,cmt-iasted,wordnet_syn,CLASSES,0.8,1.0,0.0,0.888888888888889,4,1,0,5,-,-,0.5,SYNONYMY,WordNet
conference,cmt-iasted,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,cmt-iasted,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,ekaw-sigkdd,wordnet_syn,ALL,0.875,0.6363636363636364,0.0,0.7368421052631579,7,1,4,8,35158342,00:00:00,0.5,SYNONYMY,WordNet
conference,ekaw-sigkdd,wordnet_syn,CLASSES,0.875,0.6363636363636364,0.0,0.7368421052631579,7,1,4,8,-,-,0.5,SYNONYMY,WordNet
conference,ekaw-sigkdd,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,ekaw-sigkdd,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,edas-sigkdd,wordnet_syn,ALL,0.7777777777777778,0.4666666666666667,0.0,0.5833333333333334,7,2,8,9,67271424,00:00:00,0.5,SYNONYMY,WordNet
conference,edas-sigkdd,wordnet_syn,CLASSES,1.0,0.6363636363636364,0.0,0.7777777777777778,7,0,4,7,-,-,0.5,SYNONYMY,WordNet
conference,edas-sigkdd,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,2,4,2,-,-,0.5,SYNONYMY,WordNet
conference,edas-sigkdd,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,confof-iasted,babelnet_syn,ALL,0.625,0.5555555555555556,0.2,0.5882352941176471,5,3,4,8,703331921,00:00:00,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-iasted,babelnet_syn,CLASSES,0.7142857142857143,0.5555555555555556,0.2,0.6250000000000001,5,2,4,7,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-iasted,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-iasted,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
